min post release, degrees from east, mph
-7.9972,64.055895,3.452522
-7.9139,64.055895,3.452522
-7.8306,64.055895,3.452522
-7.7473,64.055895,3.452522
-7.664,64.055895,3.452522
-7.5807,64.055895,3.452522
-7.4974,64.055895,3.452522
-7.4141,64.055895,3.452522
-7.3308,64.055895,3.452522
-7.2475,64.055895,3.452522
-7.1642,64.055895,3.452522
-7.0809,64.055895,3.452522
-6.9976,64.055895,3.452522
-6.9143,64.055895,3.452522
-6.831,64.055895,3.452522
-6.7477,64.055895,3.452522
-6.6644,64.055895,3.452522
-6.5811,64.055895,3.452522
-6.4978,64.055895,3.452522
-6.4145,64.055895,3.452522
-6.3312,64.055895,3.452522
-6.2479,64.055895,3.452522
-6.1646,64.055895,3.452522
-6.0813,64.055895,3.452522
-5.998,64.055895,3.452522
-5.9147,64.055895,3.452522
-5.8314,64.055895,3.452522
-5.7481,64.055895,3.452522
-5.6648,64.055895,3.452522
-5.5815,64.055895,3.452522
-5.4982,64.055895,3.452522
-5.4149,64.055895,3.452522
-5.3316,64.055895,3.452522
-5.2483,64.055895,3.452522
-5.165,64.055895,3.452522
-5.0817,64.055895,3.452522
-4.9984,64.055895,3.452522
-4.9151,64.055895,3.452522
-4.8318,64.055895,3.452522
-4.7485,64.055895,3.452522
-4.6652,64.055895,3.452522
-4.5819,64.055895,3.452522
-4.4986,64.055895,3.452522
-4.4153,64.055895,3.452522
-4.332,64.055895,3.452522
-4.2487,64.055895,3.452522
-4.1654,64.055895,3.452522
-4.0821,64.055895,3.452522
-3.9988,64.055895,3.452522
-3.9155,64.055895,3.452522
-3.8322,64.055895,3.452522
-3.7489,64.055895,3.452522
-3.6656,64.055895,3.452522
-3.5823,64.055895,3.452522
-3.499,64.055895,3.452522
-3.4157,64.055895,3.452522
-3.3324,64.055895,3.452522
-3.2491,64.055895,3.452522
-3.1658,64.055895,3.452522
-3.0825,64.055895,3.452522
-2.9992,64.055895,3.452522
-2.9159,64.055895,3.452522
-2.8326,64.055895,3.452522
-2.7493,64.055895,3.452522
-2.666,64.055895,3.452522
-2.5827,64.055895,3.452522
-2.4994,64.055895,3.452522
-2.4161,64.055895,3.452522
-2.3328,64.055895,3.452522
-2.2495,64.055895,3.452522
-2.1662,64.055895,3.452522
-2.0829,64.055895,3.452522
-1.9996,64.055895,3.452522
-1.9163,64.055895,3.452522
-1.833,64.055895,3.452522
-1.7497,64.055895,3.452522
-1.6664,64.055895,3.452522
-1.5831,64.055895,3.452522
-1.4998,64.055895,3.452522
-1.4165,64.055895,3.452522
-1.3332,64.055895,3.452522
-1.2499,64.055895,3.452522
-1.1666,64.055895,3.452522
-1.0833,64.055895,3.452522
-1,64.055895,3.452522
-0.9167,62.879709,3.495994
-0.8334,59.060158,3.250442
-0.7501,57.766246,2.624367
-0.6668,68.54051,2.952025
-0.5835,72.504399,2.655702
-0.5002,73.346043,2.7994
-0.4169,77.630419,2.816564
-0.3336,76.598686,2.428029
-0.2503,82.792947,2.624855
-0.167,78.630959,2.224685
-0.0837,83.447143,2.097945
-0.0004,71.020315,2.694266
0.0829,62.911526,3.209966
0.1662,72.631803,3.393665
0.2495,81.3125,3.452482
0.3328,90.697029,3.486522
0.4161,87.486513,3.349627
0.4994,89.450926,3.375764
0.5827,91.395166,3.656792
0.666,88.425905,4.024776
0.7493,86.747639,4.139637
0.8326,83.605124,4.028456
0.9159,78.524619,3.857822
0.9992,74.141487,3.424691
1.0825,69.8702,3.331341
1.1658,70.735485,3.218829
1.2491,61.36839,3.007769
1.3324,35.328573,2.805695
1.4157,34.184107,2.336472
1.499,41.196403,1.885333
1.5823,57.819955,2.162236
1.6656,50.169026,2.748993
1.7489,50.406765,2.364145
1.8322,61.114666,2.483199
1.9155,45.286718,3.700388
1.9988,48.331849,4.214481
2.0821,54.365791,3.469244
2.1654,55.97929,3.217499
2.2487,65.838643,3.065879
2.332,69.851123,4.545847
2.4153,65.23746,3.87318
2.4986,72.900228,3.439012
2.5819,75.789945,3.639336
2.6652,73.490477,3.186815
2.7485,78.360085,3.068468
2.8318,82.636889,2.656006
2.9151,72.71536,2.888997
2.9984,69.31132,3.128617
3.0817,77.380568,3.057005
3.165,77.009288,2.768387
3.2483,69.62053,2.653861
3.3316,67.146592,2.880942
3.4149,68.359915,2.956324
3.4982,68.175596,2.850051
3.5815,72.841782,2.151626
3.6648,79.058728,2.031441
3.7481,67.706872,2.921694
3.8314,63.706869,3.379797
3.9147,44.271616,3.01726
3.998,44.63257,2.876614
4.0813,50.909921,2.812676
4.1646,51.871263,3.695426
4.2479,53.720077,3.590305
4.3312,43.129332,3.290038
4.4145,48.884063,3.374391
4.4978,45.703398,3.076783
4.5811,45.69974,2.508075
4.6644,54.221825,1.786203
4.7477,58.555005,1.670871
4.831,64.291454,1.548553
4.9143,61.303185,2.125033
4.9976,58.558083,1.932554
5.0809,64.638163,1.910076
5.1642,61.491845,2.050046
5.2475,45.067533,2.077136
5.3308,79.89815,2.490402
5.4141,54.879893,2.366531
5.4974,62.064549,2.419836
5.5807,67.513711,2.771959
5.664,69.383468,3.242145
5.7473,56.495075,3.274998
5.8306,56.947913,2.700687
5.9139,64.620637,3.154166
5.9972,67.404381,3.112887
6.0805,67.10344,3.003271
6.1638,55.532108,2.73781
6.2471,58.949734,2.60092
6.3304,60.673747,2.62098
6.4137,65.974549,2.789672
6.497,72.401122,2.87553
6.5803,77.579824,2.772167
6.6636,76.266776,3.372002
6.7469,45.374345,4.187017
6.8302,31.800901,3.936057
6.9135,37.193812,4.395523
6.9968,33.426382,4.621486
7.0801,31.970056,4.692857
7.1634,32.172615,4.274566
7.2467,30.737921,3.979205
7.33,28.470349,3.788319
7.4133,26.498151,3.272813
7.4966,26.141045,3.487172
7.5799,22.151676,3.307318
7.6632,25.614005,3.222632
7.7465,47.218545,2.963049
7.8298,33.310598,3.426602
7.9131,30.542749,3.912768
7.9964,29.803789,3.55784
8.0797,9.344218,4.110852
8.163,14.236338,3.852091
8.2463,18.427556,3.70123
8.3296,26.918272,4.602167
8.4129,32.093911,4.437512
8.4962,32.22986,3.757678
8.5795,32.246774,3.618265
8.6628,25.705707,4.53006
8.7461,22.779619,4.413092
8.8294,17.835922,4.265559
8.9127,19.542725,3.853743
8.996,17.649767,3.280365
9.0793,21.121393,3.150078
9.1626,25.011612,3.133799
9.2459,21.433758,3.040511
9.3292,15.870831,2.667852
9.4125,11.387515,2.703777
9.4958,24.555249,2.867667
9.5791,23.995798,2.680492
9.6624,18.727856,2.085362
9.7457,46.288622,1.988232
9.829,44.640113,2.220434
9.9123,14.376136,2.340138
9.9956,14.936324,2.518327
10.0789,19.600951,2.398574
10.1622,32.624995,2.82159
10.2455,34.553074,3.669478
10.3288,18.245397,3.078861
10.4121,12.293547,2.932867
10.4954,357.415164,3.216356
10.5787,13.434095,3.754931
10.662,10.314382,3.524838
10.7453,11.184235,3.396958
10.8286,6.979937,3.449937
10.9119,0.443972,3.118074
10.9952,0.327845,2.802377
11.0785,358.122945,2.484112
11.1618,359.401257,2.974428
11.2451,356.449619,2.752401
11.3284,6.557003,2.801023
11.4117,10.953897,3.155482
11.495,11.044919,2.988858
11.5783,358.591135,2.802843
11.6616,355.818182,2.634623
11.7449,355.81937,2.462755
11.8282,7.823027,2.685687
11.9115,8.314703,2.307468
11.9948,8.703192,2.084221
12.0781,4.536973,1.961558
12.1614,0.206931,1.660541
12.2447,8.209532,1.462214
12.328,15.536832,2.555233
12.4113,14.838602,2.972141
12.4946,14.938017,2.820317
12.5779,13.974101,2.840239
12.6612,14.970327,2.693413
12.7445,20.657888,2.387602
12.8278,29.356057,2.266849
12.9111,23.613164,2.08705
12.9944,32.404236,1.997739
13.0777,20.785757,2.191213
13.161,341.018475,2.136246
13.2443,331.797073,1.698711
13.3276,316.525469,2.499627
13.4109,309.923968,3.188247
13.4942,314.054669,3.172008
13.5775,318.798607,2.64416
13.6608,325.424001,2.275528
13.7441,330.562321,2.335146
13.8274,321.578932,1.883534
13.9107,312.23198,1.730582
13.994,306.697492,2.087389
14.0773,307.332702,2.468599
14.1606,334.184947,3.11543
14.2439,346.8186,3.679774
14.3272,339.43299,3.382683
14.4105,333.779827,2.702883
14.4938,330.956022,2.555183
14.5771,334.799848,2.389944
14.6604,348.559615,2.14409
14.7437,347.286,1.957123
14.827,346.017008,1.868551
14.9103,343.073819,1.672542
14.9936,337.854562,1.617002
15.0769,332.266185,1.692174
15.1602,309.543607,1.463973
15.2435,324.232623,1.804506
15.3268,309.899753,1.758112
15.4101,317.266882,1.9047
15.4934,295.374636,2.297804
15.5767,298.744008,1.826428
15.66,320.502522,1.807047
15.7433,294.665187,1.885163
15.8266,294.023077,1.366787
15.9099,306.614922,1.692692
15.9932,325.30462,2.414543
16.0765,344.554211,3.480481
16.1598,325.628455,3.333151
16.2431,320.696627,3.713589
16.3264,323.409981,3.381828
16.4097,329.873027,2.899223
16.493,317.360263,3.558189
16.5763,343.698254,3.58091
16.6596,348.424867,2.644992
16.7429,353.328043,2.200782
16.8262,358.118099,1.778213
16.9095,359.268358,1.500732
16.9928,351.347797,1.937651
17.0761,322.556588,3.132516
17.1594,319.679238,3.573115
17.2427,322.273717,3.589921
17.326,322.661969,3.206274
17.4093,324.983441,2.847619
17.4926,332.980086,2.536697
17.5759,335.030621,2.50002
17.6592,336.896282,2.333962
17.7425,340.906461,2.53463
17.8258,343.900203,2.250415
17.9091,331.802297,2.320935
17.9924,325.456335,2.57783
18.0757,335.480579,2.481034
18.159,340.569517,1.989111
18.2423,355.812024,1.552698
18.3256,358.102014,1.549548
18.4089,342.412793,1.720492
18.4922,348.177067,1.604312
18.5755,357.85815,1.781608
18.6588,8.056381,1.921616
18.7421,10.608122,1.476011
18.8254,17.397789,1.766592
18.9087,11.29061,2.670272
18.992,1.58181,2.946008
19.0753,351.732658,2.839016
19.1586,331.405436,2.519403
19.2419,334.766769,2.35064
19.3252,314.569867,2.365086
19.4085,297.813671,2.316426
19.4918,298.424211,2.216467
19.5751,296.744248,2.272695
19.6584,291.844304,2.238882
19.7417,311.453446,3.133979
19.825,318.206833,3.754032
19.9083,327.345418,4.116308
19.9916,337.477801,5.015332
20.0749,331.953701,4.41689
20.1582,327.890264,3.61666
20.2415,330.068224,3.280232
20.3248,323.086198,2.74609
20.4081,318.518189,3.47764
20.4914,328.71538,3.829896
20.5747,331.360118,3.968438
20.658,333.832157,3.533741
20.7413,339.254191,3.408978
20.8246,336.679872,3.652573
20.9079,346.899721,3.633748
20.9912,353.515535,3.433249
21.0745,343.080601,4.08983
21.1578,320.477039,3.964874
21.2411,323.170739,3.222114
21.3244,309.604873,2.994791
21.4077,303.740652,3.275625
21.491,309.768926,3.475667
21.5743,311.639851,4.095283
21.6576,307.307993,4.020538
21.7409,305.963178,3.920678
21.8242,301.067411,3.679018
21.9075,295.726665,3.613151
21.9908,297.034093,3.33671
22.0741,299.425299,2.867059
22.1574,293.096956,2.57983
22.2407,284.20198,2.338996
22.324,272.128582,2.112666
22.4073,272.389464,2.141241
22.4906,290.586054,2.489165
22.5739,298.129517,2.193299
22.6572,302.460874,2.09761
22.7405,308.378231,2.263002
22.8238,322.358988,2.928598
22.9071,317.77271,2.790959
22.9904,329.780761,2.271002
23.0737,324.67864,2.271579
23.157,325.800111,2.997982
23.2403,343.139534,2.679164
23.3236,350.568665,2.453137
23.4069,336.479618,2.379792
23.4902,327.986697,2.187303
23.5735,335.785302,2.729106
23.6568,316.869458,2.917278
23.7401,317.646404,2.96691
23.8234,303.865888,2.802429
23.9067,303.069904,2.968073
23.99,313.146037,2.865293
24.0733,324.923096,4.193766
24.1566,330.078277,3.932169
24.2399,331.514878,3.643046
24.3232,330.022477,4.114767
24.4065,320.013316,3.610049
24.4898,318.555818,3.148567
24.5731,320.592326,2.963162
24.6564,313.679573,2.653165
24.7397,312.645959,2.514658
24.823,305.490672,2.97438
24.9063,316.552807,3.314234
24.9896,325.029458,3.234198
25.0729,328.275328,2.847499
25.1562,333.468216,2.485642
25.2395,322.600983,2.515501
25.3228,309.120585,2.507315
25.4061,301.319511,3.079188
25.4894,310.756692,2.985314
25.5727,308.584048,2.826656
25.656,292.816983,2.394776
25.7393,291.486522,1.785192
25.8226,294.077881,1.752664
25.9059,293.879679,1.867457
25.9892,287.368408,1.647323
26.0725,284.049454,1.740658
26.1558,298.418631,1.787464
26.2391,301.946825,2.019193
26.3224,296.933782,1.810429
26.4057,330.422716,2.300642
26.489,340.997712,2.44946
26.5723,337.603577,2.226035
26.6556,349.388104,1.811368
26.7389,336.338031,1.969013
26.8222,325.406268,2.133261
26.9055,326.389257,2.2099
26.9888,329.550713,2.115857
27.0721,329.878843,1.863433
27.1554,341.016902,1.597129
27.2387,345.125969,1.510981
27.322,316.844211,1.55182
27.4053,314.780133,1.707945
27.4886,314.131022,1.734964
27.5719,314.243835,1.575088
27.6552,316.192897,2.534375
27.7385,311.786537,3.609136
27.8218,353.339243,4.081659
27.9051,343.090899,4.183476
27.9884,344.265189,4.313047
28.0717,331.451849,4.25842
28.155,312.824245,3.93936
28.2383,314.333281,3.391511
28.3216,310.401634,3.013343
28.4049,317.693083,3.399993
28.4882,324.632337,3.108838
28.5715,330.227548,2.471175
28.6548,334.966573,1.996656
28.7381,348.26544,2.188587
28.8214,354.084713,2.56025
28.9047,20.445223,2.013595
28.988,350.017654,2.531836
29.0713,346.981539,2.980369
29.1546,343.413702,2.853589
29.2379,340.279535,2.799073
29.3212,316.727693,2.604261
29.4045,322.43998,2.45907
29.4878,312.397583,2.768546
29.5711,301.585192,3.134855
29.6544,295.699702,2.823988
29.7377,293.572992,2.599068
29.821,297.212143,2.45732
29.9043,294.666261,2.41899
29.9876,304.256053,2.349152
30.0709,307.722824,2.084731
30.1542,307.385154,1.718997
30.2375,298.106946,1.582171
30.3208,313.797275,1.678628
30.4041,324.040045,1.871722
30.4874,312.507789,1.792503
30.5707,310.33302,1.885535
30.654,317.043043,2.217528
30.7373,327.680081,2.207652
30.8206,338.04376,1.981745
30.9039,346.113229,1.934432
30.9872,326.075467,2.392452
31.0705,291.679172,3.413636
31.1538,283.411775,3.728467
31.2371,280.333906,3.15865
31.3204,282.957564,2.49475
31.4037,289.829373,2.258389
31.487,286.479146,2.038128
31.5703,280.075261,1.757709
31.6536,280.181818,1.476343
31.7369,280.181818,1.323097
31.8202,280.1019,1.434824
31.9035,274.08668,1.520657
31.9868,268.267833,2.410181
32.0701,278.012246,2.473534
32.1534,283.763562,2.192114
32.2367,285.299367,1.957917
32.32,287.111959,2.159452
32.4033,288.604056,2.058744
32.4866,293.557188,1.919477
32.5699,301.441392,1.888828
32.6532,304.785707,2.010567
32.7365,316.647777,1.51206
32.8198,315.113839,1.432879
32.9031,318,1.237791
32.9864,318,0.996786
33.0697,318,0.958593
33.153,324.6553,1.232031
33.2363,331.414601,1.501765
33.3196,337.475198,1.451369
33.4029,348.89835,1.341642
33.4862,349.124424,1.155286
33.5695,348.489459,1.190968
33.6528,344.619583,1.183055
33.7361,343.266875,1.178329
33.8194,342.386158,1.613628
33.9027,330.472812,2.638423
33.986,331.213489,2.694971
34.0693,322.291204,2.03938
34.1526,320.163055,1.741174
34.2359,311.50055,1.735835
34.3192,313.722549,1.680868
34.4025,311.504942,1.815177
34.4858,303.458305,1.69908
34.5691,304.70911,1.610912
34.6524,323.978036,1.568096
34.7357,328.468018,1.429547
34.819,333.020499,1.330692
34.9023,331.873087,1.423762
34.9856,299.74751,1.127099
35.0689,296.538782,1.065521
35.1522,318.195972,1.257032
35.2355,322.363636,0.98709
35.3188,312.192951,1.397107
35.4021,253.547006,1.793643
35.4854,246.429815,1.819977
35.5687,247.308278,1.600041
35.652,249.428686,1.539096
35.7353,249.636364,1.386195
35.8186,249.636364,1.538984
35.9019,250.085975,1.966454
35.9852,279.766715,2.613669
36.0685,285.205704,2.487834
36.1518,270.676048,3.018376
36.2351,278.707039,3.786626
36.3184,283.288834,3.403469
36.4017,287.435846,3.344224
36.485,290.123553,3.132493
36.5683,283.40003,2.849295
36.6516,277.306698,2.615126
36.7349,285.389806,2.307666
36.8182,295.612014,2.301699
36.9015,287.044929,2.176785
36.9848,279.251661,2.126449
37.0681,280.028907,1.870599
37.1514,284.561609,1.58979
37.2347,292.3281,1.127214
37.318,292.530523,1.040308
37.4013,291.768376,1.394761
37.4846,288.345378,2.126217
37.5679,269.765496,2.837807
37.6512,272.364598,2.803612
37.7345,275.766831,2.666154
37.8178,274.413935,2.764862
37.9011,277.764926,2.525179
37.9844,301.942358,2.232508
38.0677,303.454545,1.686693
38.151,303.454545,1.354228
38.2343,301.745474,1.42908
38.3176,286.271205,1.437611
38.4009,281.216556,1.210858
38.4842,280.909091,1.13276
38.5675,280.909091,0.97856
38.6508,280.909091,0.960324
38.7341,280.909091,0.982741
38.8174,280.722269,1.217833
38.9007,279.659185,1.253847
38.984,275.340044,1.167315
39.0673,268.545624,1.026254
39.1506,268.545455,0.950973
39.2339,268.545455,0.892549
39.3172,278.535006,1.492293
39.4005,297.738763,1.835732
39.4838,313.474784,2.135222
39.5671,296.857265,1.847643
39.6504,298.61297,1.693224
39.7337,300.545455,1.485422
39.817,299.875534,1.467885
39.9003,301.846656,1.34999
39.9836,305.623468,1.163958
40.0669,305.635176,0.98789
40.1502,305.635176,0.929471
40.2335,305.636364,0.859293
40.3168,305.636364,0.936243
40.4001,305.642981,1.017386
40.4834,310.944084,1.310278
40.5667,300.256298,2.148727
40.65,291.626771,2.526561
40.7333,288.568899,1.910141
40.8166,296.195237,1.606358
40.8999,299.855851,1.478927
40.9832,299.90455,1.324769
41.0665,299.818182,1.222093
41.1498,299.897933,1.107231
41.2331,299.964788,1.253851
41.3164,299.858566,0.990878
41.3997,299.921519,0.899006
41.483,300.1752,0.870651
41.5663,308.595162,1.08678
41.6496,345.48635,1.189408
41.7329,9.690146,1.298371
41.8162,11.090909,1.181826
41.8995,11.090909,1.171977
41.9828,11.090909,1.199358
42.0661,11.090909,1.068457
42.1494,11.090909,1.05702
42.2327,0.910206,1.038966
42.316,309.110504,1.108994
42.3993,299.594201,1.454556
42.4826,263.615666,1.823101
42.5659,277.475471,1.633444
42.6492,323.942843,1.877889
42.7325,339.411303,2.383953
42.8158,330.671832,2.343975
42.8991,314.331664,2.146758
42.9824,319.996238,2.330631
43.0657,325.947959,2.439919
43.149,328.973065,2.341878
43.2323,322.713311,2.005973
43.3156,321.636364,1.899263
43.3989,323.232628,1.616692
43.4822,323.818182,1.484739
43.5655,324.003477,1.466177
43.6488,324.545455,1.350421
43.7321,324.545455,1.251195
43.8154,324.545455,1.045994
43.8987,324.545455,0.872648
43.982,324.545455,0.780619
44.0653,324.545455,0.77673
44.1486,329.758486,1.000915
44.2319,340.852162,1.18034
44.3152,341.042465,1.24382
44.3985,340.545455,1.130808
44.4818,340.545455,0.815721
44.5651,340.539346,0.933486
44.6484,338.88032,1.152797
44.7317,338.363636,1.140819
44.815,338.363636,1.138706
44.8983,338.363636,1.195803
44.9816,338.171053,1.475476
45.0649,350.130789,2.154087
45.1482,327.407525,1.813178
45.2315,301.297774,1.680863
45.3148,312.329337,1.807417
45.3981,351.05155,1.920308
45.4814,348.092733,1.934916
45.5647,353.763411,1.843793
45.648,353.554599,2.15397
45.7313,346.256279,2.037133
45.8146,345.633366,2.049054
45.8979,346.874234,1.960333
45.9812,359.139433,2.014532
46.0645,5.452377,2.016729
46.1478,7.635269,1.88153
46.2311,5.382289,1.751327
46.3144,12.425653,1.663601
46.3977,12.545455,1.376797
46.481,18.043157,1.296365
46.5643,32.920629,1.225729
46.6476,32.473687,1.439195
46.7309,35.309575,1.615983
46.8142,36.29584,1.489468
46.8975,29.26558,1.639364
46.9808,22.215736,1.767176
47.0641,23.475586,1.652092
47.1474,18.877652,1.630228
47.2307,17.908538,1.4446
47.314,17.636364,1.33085
47.3973,28.404549,1.621614
47.4806,34.948469,2.16206
47.5639,20.837141,1.787382
47.6472,20.701211,1.643184
47.7305,27.298951,1.9631
47.8138,30.216334,1.663807
47.8971,38.72144,1.516869
47.9804,25.245702,1.357531
48.0637,31.918309,1.36343
48.147,7.020813,2.809521
48.2303,331.120976,3.378945
48.3136,340.790264,2.345258
48.3969,351.961853,1.857315
48.4802,316.994628,1.534431
48.5635,315.090909,1.395007
48.6468,315.142832,1.262622
48.7301,326.949312,1.275385
48.8134,9.570954,1.297728
48.8967,25.636364,1.42465
48.98,26.333848,1.990577
49.0633,30.456286,1.983007
49.1466,38.234334,1.96392
49.2299,46.816239,1.851005
49.3132,43.894253,2.334178
49.3965,40.981626,2.709918
49.4798,32.651881,2.669872
49.5631,40.377908,2.379464
49.6464,49.46349,2.140561
49.7297,54.75066,1.876242
49.813,61.470373,1.784791
49.8963,49.845737,1.709813
49.9796,45.94214,2.082137
50.0629,51.023215,2.343397
50.1462,51.571831,2.160243
50.2295,74.269352,1.719991
50.3128,98.322425,1.824204
50.3961,82.607933,1.831672
50.4794,79.988801,1.783639
50.5627,96.057788,1.619386
50.646,94.187992,2.237576
50.7293,80.168854,2.086406
50.8126,35.915368,1.908057
50.8959,36.95792,2.154365
50.9792,42.903378,2.134253
51.0625,41.488128,1.743716
51.1458,27.510291,1.23048
51.2291,27.546347,1.33819
51.3124,35.334016,1.27271
51.3957,65.871544,1.440549
51.479,72.980723,1.336989
51.5623,130.897447,1.888729
51.6456,283.445972,2.06108
51.7289,286.245553,1.86015
51.8122,268.951563,2.147399
51.8955,294.482494,2.457742
51.9788,274.183164,2.17176
52.0621,277.084373,2.203974
52.1454,262.157853,2.41114
52.2287,238.75714,2.007579
52.312,237.272727,1.829822
52.3953,228.216265,1.584223
52.4786,211.947073,1.631466
52.5619,210.867926,1.409768
52.6452,214.863558,1.313471
52.7285,218.40181,1.250675
52.8118,237.134142,1.217848
52.8951,268.112929,1.402173
52.9784,279.169828,1.247998
53.0617,280.909091,1.17999
53.145,281.938562,1.175477
53.2283,286.369804,1.087962
53.3116,287.365836,1.140085
53.3949,317.941661,1.734896
53.4782,352.661672,2.653541
53.5615,343.514755,2.602333
53.6448,352.136377,2.124234
53.7281,331.641061,1.868664
53.8114,330.834069,2.088488
53.8947,357.469132,2.035877
53.978,2.17068,1.863712
54.0613,2.957211,1.51505
54.1446,349.656628,1.458517
54.2279,336.912485,1.459435
54.3112,336.912485,1.222758
54.3945,336.910279,1.128038
54.4778,336.909091,1.039256
54.5611,336.909091,0.907364
54.6444,336.89365,0.973785
54.7277,322.035762,0.845738
54.811,314.363636,0.946738
54.8943,312.494727,1.142586
54.9776,276.283646,1.077984
55.0609,218.428252,0.964592
55.1442,213.272727,1.072353
55.2275,213.272727,0.835669
55.3108,216.976823,0.727094
55.3941,218.912471,1.008435
55.4774,229.207463,1.0831
55.5607,230,1.221989
55.644,230,1.248471
55.7273,230,1.026781
55.8106,230,0.942159
55.8939,230,0.825963
55.9772,229.380528,1.069381
56.0605,200.195421,1.174047
56.1438,193.85321,1.190713
56.2271,193.636364,1.346151
56.3104,193.636364,1.493754
56.3937,193.645017,1.672605
56.477,210.346766,1.55832
56.5603,211.745862,1.202407
56.6436,207.483441,1.006166
56.7269,219.571509,1.033948
56.8102,233.329445,1.091372
56.8935,233.635176,1.124778
56.9768,233.636364,1.148067
57.0601,234.041064,0.954197
57.1434,234.363636,0.825125
57.2267,234.363636,0.974406
57.31,234.788869,1.066485
57.3933,237.956578,1.094428
57.4766,240.909091,0.935183
57.5599,240.909091,0.812404
57.6432,240.909091,0.849302
57.7265,240.909091,1.27576
57.8098,257.723981,1.42401
57.8931,344.083,1.550303
57.9764,51.540852,2.259703
58.0597,40.759009,2.377392
58.143,31.15733,1.952977
58.2263,40.667382,1.749823
58.3096,54.449487,2.040264
58.3929,49.520464,2.491149
58.4762,29.681497,2.363002
58.5595,26.870968,2.250335
58.6428,33.90462,2.568851
58.7261,35.446746,2.533072
58.8094,39.121909,2.428888
58.8927,43.227797,2.771121
58.976,33.852758,2.782832
59.0593,31.274811,2.629126
59.1426,38.424068,2.690165
59.2259,32.537658,2.237152
59.3092,36.316415,2.17672
59.3925,29.866967,2.047247
59.4758,32.233392,1.945858
59.5591,33.768294,2.359737
59.6424,41.434193,2.431577
59.7257,57.979127,2.232841
59.809,61.761342,2.562646
59.8923,56.301374,2.761848
59.9756,69.129616,2.866439
